"subj_idx","gender","year","material","condition","朋友","生人","自我"
1,1,"2001",1,"classify_friend",708.8717948717949,732.0649350649351,776.4155844155844
2,0,"2002",1,"classify_stranger",632.5,616.364705882353,627.604938271605
3,0,"2000",1,"classify_stranger",493.02298850574715,484.9887640449438,473.79545454545456
4,1,"2001",1,"classify_self",694.1797752808989,696.4222222222222,664.0444444444445
5,1,"1998",1,"classify_self",745.289156626506,743.25,763.0493827160494
6,1,"2001",1,"classify_self",799.8888888888889,819.1555555555556,799.9777777777778
7,0,"2005",1,"classify_self",606.2555555555556,589.0674157303371,579.5227272727273
8,1,"2002",1,"classify_friend",731.320987654321,751.3452380952381,714.7126436781609
9,1,"2002",1,"classify_friend",607.4939759036145,662.5925925925926,628.4117647058823
10,1,"2001",1,"classify_friend",683.1609195402299,773.5058823529412,774.2068965517242
11,1,"2000",1,"classify_stranger",574.2873563218391,581.0731707317074,638.1111111111111
12,1,"2000",1,"classify_stranger",636.1348314606741,613.1685393258427,634.0337078651686
